Indoor or Outdoor?,Type of Task,Name of the Task,Date,Start Time,End Time,Percentage of Successful Completion,Reason for Success
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/1/2018,08:00:00,10:00:00,10,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Home,1/1/2018,10:00:00,12:00:00,10,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Prayers,1/1/2018,15:00:00,16:00:00,7,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Gym,1/1/2018,16:00:00,18:00:00,10,
Indoor,"Social Activity (e.g. Parents, Kids etc.)",Friends,1/1/2018,18:00:00,20:00:00,8,Determination
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Research,1/2/2018,08:00:00,10:00:00,10,
Outdoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Lawn,1/2/2018,10:00:00,12:00:00,2,
Outdoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/2/2018,15:00:00,16:00:00,9,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Swimming,1/2/2018,16:00:00,18:00:00,10,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Kids,1/2/2018,18:00,21:00,8,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Assignments,1/3/2018,08:00:00,10:00:00,10,
Outdoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Car,1/3/2018,10:00:00,12:00:00,8,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Prayers,1/3/2018,14:00,16:00,2,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Parents,1/3/2018,16:00,18:00,9,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Movies,1/3/2018,18:00,21:00,3,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/4/2018,08:00:00,10:00:00,8,
Outdoor,"Errands (e.g. Pay Bills, go to Post Office, Shopping etc.)",House Supplies,1/4/2018,10:00:00,12:00:00,3,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Gym,1/4/2018,16:00,18:00,8,
Outdoor,"Errands (e.g. Pay Bills, go to Post Office, Shopping etc.)",Post Office,1/4/2018,18:00,20:00,9,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/4/2018,20:00,22:00,5,
Outdoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/5/2018,08:00,10:00,10,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Basement,1/5/2018,10:00,12:00,1,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/5/2018,14:00,16:00,10,
Outdoor,"Social Activity (e.g. Parents, Kids etc.)",Friends,1/5/2018,16:00,18:00,2,
Indoor,"Social Activity (e.g. Parents, Kids etc.)",Kids,1/5/2018,18:00,20:00,5,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Studying,1/6/2018,08:00:00,10:00:00,4,
Indoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Home,1/6/2018,10:00:00,12:00:00,7,
Indoor,"Spiritual (e.g. Meditation, Prayers etc.)",Prayers,1/6/2018,15:00:00,16:00:00,8,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Gym,1/6/2018,16:00:00,18:00:00,8,
Indoor,"Social Activity (e.g. Parents, Kids etc.)",Friends,1/6/2018,18:00:00,20:00:00,10,
Indoor,"Intellectual (e.g. study, read, do homework, write a paper, watch documentary, etc.)",Research,1/7/2018,08:00:00,10:00:00,7,
Outdoor,"Physical Work (e.g. House Maintenance, Gardening etc.)",Clean Lawn,1/7/2018,10:00:00,12:00:00,2,
Outdoor,"Spiritual (e.g. Meditation, Prayers etc.)",Meditation,1/7/2018,15:00:00,16:00:00,7,
Indoor,"Fitness and Health (eg: Swimming, Jogging, Workout etc.)",Swimming,1/7/2018,16:00:00,18:00:00,10,
